region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brazil,State,2020-11-20,38858,514,10,22,29069.3,474.95000000000005
Brazil,State,2020-11-21,30221,357,10,22,31862.25,521.75
Brazil,State,2020-11-22,17925,178,10,22,33020.25,538.45
Brazil,State,2020-11-23,18156,355,10,22,33768.9,521.95
Brazil,State,2020-11-24,34529,627,10,22,33867.950000000004,490.70000000000005
Brazil,State,2020-11-25,44623,623,10,22,32360.950000000004,461.84999999999997
Brazil,State,2020-11-26,40882,710,10,22,32690.75,470.1000000000001
Brazil,State,2020-11-27,33507,559,10,22,35306.25000000001,511.55
Brazil,State,2020-11-28,51484,544,10,22,38432.45000000001,556.9
Brazil,State,2020-11-29,21008,233,10,22,40688.3,579.75
Brazil,State,2020-11-30,23691,351,10,22,41128.2,583.5
Brazil,State,2020-12-01,51984,685,10,22,40188.49999999999,566.2
Brazil,State,2020-12-02,48472,679,10,22,39141.5,541.0000000000001
Brazil,State,2020-12-03,50133,761,10,22,38632.65,546.95
Brazil,State,2020-12-04,47669,678,10,22,40126.850000000006,590.6
Brazil,State,2020-12-05,40281,647,10,22,43298.25000000001,642.5
Brazil,State,2020-12-06,26430,340,10,22,44819.05,662.2
Brazil,State,2020-12-07,27019,425,10,22,44539.55,660.9000000000001
Brazil,State,2020-12-08,47795,797,10,22,42826.8,637.4999999999999
Brazil,State,2020-12-09,54581,853,10,22,40406.799999999996,605.95
Brazil,State,2020-12-10,53546,769,10,22,39779.3,612.0500000000001
Brazil,State,2020-12-11,52545,661,10,22,42151.1,656.45
Brazil,State,2020-12-12,42321,677,10,22,46219.1,718.25
Brazil,State,2020-12-13,22029,295,10,22,48555.15,750.9500000000002
Brazil,State,2020-12-14,27373,513,10,22,48490.600000000006,742.2
Brazil,State,2020-12-15,48027,934,10,22,46720.3,714.9500000000002
Brazil,State,2020-12-16,66120,941,10,22,44021.850000000006,692.4
Brazil,State,2020-12-17,68689,1060,10,22,43493.600000000006,702
Brazil,State,2020-12-18,52846,816,10,22,45392.5,750.1
Brazil,State,2020-12-19,48239,659,10,22,48116.200000000004,795.95
Brazil,State,2020-12-20,24482,418,10,22,48315.65,785.7000000000002
Brazil,State,2020-12-21,27640,561,10,22,44543.950000000004,730.85
Brazil,State,2020-12-22,56661,969,10,22,39560.75,662.45
Brazil,State,2020-12-23,45667,965,10,22,35736.350000000006,612.35
Brazil,State,2020-12-24,58209,760,10,22,34872.200000000004,617.95
Brazil,State,2020-12-25,21180,482,10,22,36834.15,677.4
Brazil,State,2020-12-26,17533,296,10,22,39730.75000000001,739.9999999999999
Brazil,State,2020-12-27,17612,337,10,22,39385.600000000006,737.7500000000001
Brazil,State,2020-12-28,27435,537,10,22,36183.6,679.15
Brazil,State,2020-12-29,56367,1050,10,22,32616.800000000003,623.0500000000001
Brazil,State,2020-12-30,55593,1216,10,22,30758.300000000003,606.2000000000002
Brazil,State,2020-12-31,54461,1015,10,22,32978.200000000004,656.4000000000001
Brazil,State,2021-01-01,22937,470,10,22,37249.05,745.6500000000001
Brazil,State,2021-01-02,15351,292,10,22,42518.5,839.3500000000001
Brazil,State,2021-01-03,17189,311,10,22,45704.950000000004,889.8000000000002
Brazil,State,2021-01-04,25030,594,10,22,45655.149999999994,880.8
