region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Spain,Province,2021-07-17,48.7957886122769,-0.634784729125836,0.00630902147451069,3.30808010246847e-4,0.999975829891342,0.999975829891342,cases,fixed,90
Spain,Province,2021-07-18,48.7998154317187,-0.634995869412099,0.00620778819036949,3.25498990950361e-4,0.999976615001671,0.999976615001671,cases,fixed,90
Spain,Province,2021-07-19,48.8036949816322,-0.635199286843525,0.006093135965756,3.19486396230302e-4,0.999977485362131,0.999977485362131,cases,fixed,90
Spain,Province,2021-07-20,48.8074090183921,-0.635394024872238,0.00596562027006128,3.12799357470037e-4,0.999978431194659,0.999978431194659,cases,fixed,90
Spain,Province,2021-07-21,48.8109401960728,-0.635579174029357,0.00582608072793972,3.05481904973788e-4,0.999979440490867,0.999979440490867,cases,fixed,90
Spain,Province,2021-07-22,48.814272095914,-0.635753873472189,0.00567579553855626,2.97601064472856e-4,0.999980498300154,0.999980498300154,cases,fixed,90
Spain,Province,2021-07-23,48.8173890785419,-0.635917303235498,0.00551653837972272,2.89249840460791e-4,0.999981586897043,0.999981586897043,cases,fixed,90
Spain,Province,2021-07-24,48.8202879839434,-0.636069297706163,0.0053502795528038,2.80531545931484e-4,0.999982688407054,0.999982688407054,cases,fixed,90
Spain,Province,2021-07-25,48.8229706169597,-0.636209951601764,0.00517910173913961,2.71555385094505e-4,0.99998378567448,0.99998378567448,cases,fixed,90
Spain,Province,2021-07-26,48.825425836082204,-0.636338680812559,0.00500563107965121,2.6245905598314e-4,0.999984859859355,0.999984859859355,cases,fixed,90
Spain,Province,2021-07-27,48.8276399178199,-0.636454765851774,0.00483312010596247,2.53413098339866e-4,0.999985890653118,0.999985890653118,cases,fixed,90
Spain,Province,2021-07-28,48.8296011421718,-0.636557592291038,0.00466542183299386,2.44619534754911e-4,0.999986857101146,0.999986857101146,cases,fixed,90
Spain,Province,2021-07-29,48.8312993573884,-0.636646627937866,0.00450698137717555,2.363114307368e-4,0.99998773811456,0.99998773811456,cases,fixed,90
Spain,Province,2021-07-30,48.8327244489218,-0.63672134255636,0.00436288121424398,2.28755267229661e-4,0.999988512423718,0.999988512423718,cases,fixed,90
Spain,Province,2021-07-31,48.8338781613301,-0.636781827723106,0.00423762801714808,2.22187331612905e-4,0.99998916465946,0.99998916465946,cases,fixed,90
Spain,Province,2021-08-01,48.834766718461204,-0.636828409878323,0.00413526230676704,2.16819467327902e-4,0.999989683385252,0.999989683385252,cases,fixed,90
Spain,Province,2021-08-02,48.8353869431757,-0.636860922536373,0.00406040741568758,2.12894073186946e-4,0.999990054568592,0.999990054568592,cases,fixed,90
Spain,Province,2021-08-03,48.8357334885389,-0.636879085447518,0.0040175911143379,2.10648534740674e-4,0.999990263817884,0.999990263817884,cases,fixed,90
Spain,Province,2021-08-04,48.8358017175465,-0.636882655590062,0.00401053397971384,2.10277912527398e-4,0.999990298156524,0.999990298156524,cases,fixed,90
Spain,Province,2021-08-05,48.835588602505,-0.636871474323361,0.00404160571173849,2.11906436671121e-4,0.999990146955811,0.999990146955811,cases,fixed,90
Spain,Province,2021-08-06,48.835091191486796,-0.636845386982633,0.00411175910775688,2.15584046112513e-4,0.999989801159502,0.999989801159502,cases,fixed,90
Spain,Province,2021-08-07,48.8343155790487,-0.636804713227278,0.00421918348790304,2.21215787495362e-4,0.999989259981237,0.999989259981237,cases,fixed,90
Spain,Province,2021-08-08,48.8332714118347,-0.636749958956354,0.00436027552217588,2.28612718488773e-4,0.999988527767262,0.999988527767262,cases,fixed,90
Spain,Province,2021-08-09,48.8319601344577,-0.636681200018192,0.00453181149303357,2.37605802268664e-4,0.999987604768146,0.999987604768146,cases,fixed,90
Spain,Province,2021-08-10,48.8303818454736,-0.636598441682296,0.00473033668674126,2.48013892716799e-4,0.999986491565684,0.999986491565684,cases,fixed,90
Spain,Province,2021-08-11,48.8285379265763,-0.636501756495694,0.00495199937674355,2.59635030285489e-4,0.999985191504501,0.999985191504501,cases,fixed,90
Spain,Province,2021-08-12,48.8264307778903,-0.636391270402192,0.00519284837522144,2.72262042981513e-4,0.99998371046441,0.99998371046441,cases,fixed,90
Spain,Province,2021-08-13,48.8240634187722,-0.636267141812512,0.00544901673009151,2.85692177681538e-4,0.999982056799046,0.999982056799046,cases,fixed,90
Spain,Province,2021-08-14,48.8214454688521,-0.636129875191586,0.00571615004863738,2.99697127137743e-4,0.999980246002124,0.999980246002124,cases,fixed,90
Spain,Province,2021-08-15,48.8185888815568,-0.63598009736188,0.00599007531751047,3.14058096403393e-4,0.999978297312379,0.999978297312379,cases,fixed,90
Spain,Province,2021-08-16,48.8155006051974,-0.635818172720688,0.00626765048405968,3.28610345895589e-4,0.999976227422379,0.999976227422379,cases,fixed,90
Spain,Province,2021-08-17,48.8121853432159,-0.635644347961238,0.00654638329960066,3.43223206783623e-4,0.999974052014449,0.999974052014449,cases,fixed,90
Spain,Province,2021-08-18,48.8086478855528,-0.635458874307069,0.00682412374763648,3.57783954729068e-4,0.999971787304856,0.999971787304856,cases,fixed,90
Spain,Province,2021-08-19,48.8048937167214,-0.635262039396126,0.00709885596181235,3.72186900065346e-4,0.999969451274467,0.999969451274467,cases,fixed,90
Spain,Province,2021-08-20,48.8009282888652,-0.635054129166244,0.00736876964420633,3.8633713208476e-4,0.999967062766645,0.999967062766645,cases,fixed,90
Spain,Province,2021-08-21,48.7967630774682,-0.634835745352443,0.00763173149449935,4.00122806529655e-4,0.999964646003032,0.999964646003032,cases,fixed,90
Spain,Province,2021-08-22,48.7924118816832,-0.634607611512461,0.00788565286960176,4.13434421746345e-4,0.999962227449277,0.999962227449277,cases,fixed,90
Spain,Province,2021-08-23,48.7878825330852,-0.63437013831911,0.00812925473243162,4.26204923794714e-4,0.999959827947408,0.999959827947408,cases,fixed,90
Spain,Province,2021-08-24,48.7831822488476,-0.634123704229802,0.00836136287139043,4.38372755334113e-4,0.999957468502954,0.999957468502954,cases,fixed,90
Spain,Province,2021-08-25,48.7783190402344,-0.6338687293313,0.00858083599087729,4.49878085456733e-4,0.999955170741121,0.999955170741121,cases,fixed,90
Spain,Province,2021-08-26,48.7733015617973,-0.63360566743351,0.00878654392650293,4.60661667528052e-4,0.999952956933894,0.999952956933894,cases,fixed,90
Spain,Province,2021-08-27,48.7681385975965,-0.633334979131111,0.00897744884405212,4.70669096271888e-4,0.999950848918517,0.999950848918517,cases,fixed,90
Spain,Province,2021-08-28,48.7628436439698,-0.633057372070415,0.00915235138823184,4.79837498842457e-4,0.999948870678563,0.999948870678563,cases,fixed,90
Spain,Province,2021-08-29,48.7574318999314,-0.632773643157554,0.00931014721780995,4.88108984475552e-4,0.999947045380848,0.999947045380848,cases,fixed,90
Spain,Province,2021-08-30,48.7519138869835,-0.632484344058171,0.00945006471778986,4.95443107067606e-4,0.99994539224636,0.99994539224636,cases,fixed,90
Spain,Province,2021-08-31,48.7462993596195,-0.632189986218458,0.00957147043594135,5.01806664481644e-4,0.999943928357337,0.999943928357337,cases,fixed,90
Spain,Province,2021-09-01,48.7405989056953,-0.631891124771516,0.00967369686363961,5.0716466947825e-4,0.999942670443714,0.999942670443714,cases,fixed,90
Spain,Province,2021-09-02,48.734824111308,-0.631588367178953,0.0097561349944625,5.11485202313333e-4,0.999941633646607,0.999941633646607,cases,fixed,90
Spain,Province,2021-09-03,48.7289867112482,-0.63128232869161,0.00981822789838279,5.14739073809028e-4,0.999940831396659,0.999940831396659,cases,fixed,90
Spain,Province,2021-09-04,48.7231015810265,-0.630973789211096,0.00985948049118597,5.16900337493023e-4,0.99994027515088,0.99994027515088,cases,fixed,90
Spain,Province,2021-09-05,48.7171846889986,-0.63066358592427,0.00987952429223823,5.1794968458036e-4,0.999939973424069,0.999939973424069,cases,fixed,90
Spain,Province,2021-09-06,48.711248544711,-0.63035237467566,0.00987810822365482,5.1787396151152e-4,0.999939931708055,0.999939931708055,cases,fixed,90
Spain,Province,2021-09-07,48.7053053201055,-0.630040793602066,0.0098550974678236,5.16666109968265e-4,0.999940152415629,0.999940152415629,cases,fixed,90
