region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Spain,Province,26,1,0.038461538461538464,1.0526239886896707,26,-0.0031658196100705638,-0.14082653912501686,0.09611425353526688,0.15722145443004396,1,26
Spain,Province,28,1,0.03571428571428571,0.9001431681678035,28,0.0022283943416395724,0.15693760920514632,0.09611425353526688,0.15722145443004396,2,26
Spain,Province,31,1,0.03225806451612903,0.8223388826007285,31,0.00631531650635031,-0.12115795488701953,0.09611425353526688,0.15722145443004396,3,26
Spain,Province,32,1,0.03125,0.8181717957794865,32,-0.004167086821242005,-0.010482403327592316,0.09611425353526688,0.15722145443004396,4,26
Spain,Province,36,1,0.027777777777777776,0.7126956319212734,36,0.023722166584827842,-0.04214823375819776,0.09611425353526688,0.15722145443004396,5,26
Spain,Province,37,1,0.02702702702702703,0.6906140454384045,37,-0.022081586482868842,-0.045803753067696684,0.09611425353526688,0.15722145443004396,6,26
Spain,Province,35,1,0.02857142857142857,0.6889734653364455,35,0.0658704003430256,0.07040501066017435,0.09611425353526688,0.15722145443004396,7,26
Spain,Province,34,1,0.029411764705882353,0.6231030649934199,34,-0.004534610317148746,0.18599951015176908,0.09611425353526688,0.15722145443004396,8,26
Spain,Province,41,1,0.024390243902439025,0.589206069291979,41,0.007288274365510383,-0.004316470092954994,0.09611425353526688,0.15722145443004396,9,26
Spain,Province,40,1,0.025,0.5819177949264687,40,0.011604744458465377,0.0016825425255041493,0.09611425353526688,0.15722145443004396,10,26
Texas,County,39,1,0.02564102564102564,1.2029380740821303,39,0.0317911723413018,0.031582206015321246,0.05538556276879544,0.09843832004388535,1,38
Texas,County,38,1,0.02631578947368421,1.1711469017408285,38,2.0896632598055298e-4,0.17065529545173574,0.05538556276879544,0.09843832004388535,2,38
Texas,County,42,1,0.023809523809523808,1.1471576384127848,42,0.027375338656234094,-0.012118133392049257,0.05538556276879544,0.09843832004388535,3,38
Texas,County,43,1,0.023255813953488372,1.1313092861548626,43,-0.01584835225792225,-0.04322369091415634,0.05538556276879544,0.09843832004388535,4,38
Texas,County,41,1,0.024390243902439025,1.1197822997565507,41,0.03949347204828335,0.16214271842214623,0.05538556276879544,0.09843832004388535,5,38
